named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Amide coupling,27,1,27,27.0,scent_seh_seed44,hub_batching,at100rxn
Direct acid -> amine (reductive),27,1,27,27.0,scent_seh_seed44,hub_batching,at100rxn
Urea formation (amine + amine),9,1,9,9.0,scent_seh_seed44,hub_batching,at100rxn
Buchwald-Hartwig amination,8,1,8,8.0,scent_seh_seed44,hub_batching,at100rxn
Pictet-Spengler cyclisation,3,1,3,3.0,scent_seh_seed44,hub_batching,at100rxn
Benzimidazole formation,2,1,2,2.0,scent_seh_seed44,hub_batching,at100rxn
Benzoxazole formation,1,1,1,1.0,scent_seh_seed44,hub_batching,at100rxn
Esterification,1,1,1,1.0,scent_seh_seed44,hub_batching,at100rxn
SNAr (halo-heteroarene + amine),1,1,1,1.0,scent_seh_seed44,hub_batching,at100rxn
Williamson ether synthesis,1,1,1,1.0,scent_seh_seed44,hub_batching,at100rxn
Urea formation (amine + amine),65,6,14,10.83,scent_seh_seed44,hub_batching,full
Buchwald-Hartwig amination,56,7,11,8.0,scent_seh_seed44,hub_batching,full
Amide coupling,42,5,31,8.4,scent_seh_seed44,hub_batching,full
Direct acid -> amine (reductive),37,5,29,7.4,scent_seh_seed44,hub_batching,full
Reductive amination (ketone),16,6,4,2.67,scent_seh_seed44,hub_batching,full
SNAr (halo-heteroarene + amine),13,6,4,2.17,scent_seh_seed44,hub_batching,full
N-alkylation (azole N-H + alkyl halide),13,1,13,13.0,scent_seh_seed44,hub_batching,full
Reductive amination (aldehyde),12,5,4,2.4,scent_seh_seed44,hub_batching,full
Pictet-Spengler cyclisation,10,3,5,3.33,scent_seh_seed44,hub_batching,full
Benzimidazole formation,9,2,7,4.5,scent_seh_seed44,hub_batching,full
SNAr (activated aryl fluoride + amine),9,4,4,2.25,scent_seh_seed44,hub_batching,full
Williamson ether synthesis,7,2,6,3.5,scent_seh_seed44,hub_batching,full
Urea formation (isocyanate + amine),3,1,3,3.0,scent_seh_seed44,hub_batching,full
Sulfonamide formation (sulfonyl fluoride),2,1,2,2.0,scent_seh_seed44,hub_batching,full
Tetrazole formation (nitrile + alkyl halide),2,1,2,2.0,scent_seh_seed44,hub_batching,full
Triazole formation (alkyne + alkyl halide),2,1,2,2.0,scent_seh_seed44,hub_batching,full
Benzoxazole formation,1,1,1,1.0,scent_seh_seed44,hub_batching,full
Esterification,1,1,1,1.0,scent_seh_seed44,hub_batching,full
N-alkylation (azole N-H + alkyl halide),9,9,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Amide coupling,4,4,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Direct acid -> amine (reductive),4,4,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Triazole formation (alkyne + alkyl halide),3,3,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Suzuki coupling,3,3,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Buchwald-Hartwig amination,2,2,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Williamson ether synthesis,1,1,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Suzuki coupling (pinacol boronate),1,1,1,1.0,scent_seh_seed44,best_candidate,at100rxn
Suzuki coupling,57,52,2,1.1,scent_seh_seed44,best_candidate,full
Amide coupling,51,47,2,1.09,scent_seh_seed44,best_candidate,full
N-alkylation (azole N-H + alkyl halide),44,44,1,1.0,scent_seh_seed44,best_candidate,full
Direct acid -> amine (reductive),36,36,1,1.0,scent_seh_seed44,best_candidate,full
Tetrazole formation (nitrile + alkyl halide),22,22,1,1.0,scent_seh_seed44,best_candidate,full
Reductive amination (aldehyde),16,15,2,1.07,scent_seh_seed44,best_candidate,full
Triazole formation (alkyne + alkyl halide),12,12,1,1.0,scent_seh_seed44,best_candidate,full
Suzuki coupling (pinacol boronate),12,12,1,1.0,scent_seh_seed44,best_candidate,full
Buchwald-Hartwig amination,11,10,2,1.1,scent_seh_seed44,best_candidate,full
Williamson ether synthesis,9,9,1,1.0,scent_seh_seed44,best_candidate,full
Benzoxazole formation,9,8,2,1.12,scent_seh_seed44,best_candidate,full
Benzimidazole formation,8,7,2,1.14,scent_seh_seed44,best_candidate,full
Pictet-Spengler cyclisation,4,4,1,1.0,scent_seh_seed44,best_candidate,full
Urea formation (amine + amine),3,3,1,1.0,scent_seh_seed44,best_candidate,full
SNAr (halo-heteroarene + amine),2,2,1,1.0,scent_seh_seed44,best_candidate,full
Reductive amination (ketone),2,2,1,1.0,scent_seh_seed44,best_candidate,full
Urea formation (isocyanate + amine),2,2,1,1.0,scent_seh_seed44,best_candidate,full
